



央视更新2025.7.7,#genre#
CCTV1,http://123.207.224.130:123/migu.php?id=cctv1
CCTV2,http://123.207.224.130:123/migu.php?id=cctv2
CCTV3,http://123.207.224.130:123/migu.php?id=cctv3
CCTV4,http://123.207.224.130:123/migu.php?id=cctv4
CCTV4a,http://123.207.224.130:123/migu.php?id=cctv4a
CCTV4o,http://123.207.224.130:123/migu.php?id=cctv4o
CCTV6,http://123.207.224.130:123/migu.php?id=cctv6
CCTV7,http://123.207.224.130:123/migu.php?id=cctv7
CCTV8,http://123.207.224.130:123/migu.php?id=cctv8
CCTV9,http://123.207.224.130:123/migu.php?id=cctv9
CCTV10,http://123.207.224.130:123/migu.php?id=cctv10
CCTV11,http://123.207.224.130:123/migu.php?id=cctv11
CCTV12,http://123.207.224.130:123/migu.php?id=cctv12
CCTV13,http://123.207.224.130:123/migu.php?id=cctv13
CCTV14,http://123.207.224.130:123/migu.php?id=cctv14
CCTV15,http://123.207.224.130:123/migu.php?id=cctv15
CCTV17,http://123.207.224.130:123/migu.php?id=cctv17
CCTV发现之旅,http://123.207.224.130:123/migu.php?id=fxzl
CCTV老故事,http://123.207.224.130:123/migu.php?id=lgs
CCTV中学生,http://123.207.224.130:123/migu.php?id=zxs
CGTN,http://123.207.224.130:123/migu.php?id=cgtn
CGTN纪录,http://123.207.224.130:123/migu.php?id=cgtnjl
CCTV西班牙语,http://123.207.224.130:123/migu.php?id=cgtne
CCTV法语,http://123.207.224.130:123/migu.php?id=cgtnf
CCTV阿拉伯语,http://123.207.224.130:123/migu.php?id=cgtna
CCTV俄语,http://123.207.224.130:123/migu.php?id=cgtnr
陕西卫视,http://123.207.224.130:123/migu.php?id=sxws
河南卫视,http://123.207.224.130:123/migu.php?id=hnws
江西卫视,http://123.207.224.130:123/migu.php?id=jxws
江苏卫视,http://123.207.224.130:123/migu.php?id=jsws
广东卫视,http://123.207.224.130:123/migu.php?id=gdws
大湾区卫视,http://123.207.224.130:123/migu.php?id=dwqws
东方卫视,http://123.207.224.130:123/migu.php?id=dfws
湖北卫视,http://123.207.224.130:123/migu.php?id=hubws
吉林卫视,http://123.207.224.130:123/migu.php?id=jlws
青海卫视,http://123.207.224.130:123/migu.php?id=qhws
海南卫视,http://123.207.224.130:123/migu.php?id=hinws
东方影视,http://123.207.224.130:123/migu.php?id=dfys
东方卫视,http://123.207.224.130:123/miguHD.php?id=东方卫视
内蒙古卫视,http://123.207.224.130:123/miguHD.php?id=内蒙古卫视
广东卫视,http://123.207.224.130:123/miguHD.php?id=广东卫视
江苏卫视,http://123.207.224.130:123/miguHD.php?id=江苏卫视
江西卫视,http://123.207.224.130:123/miguHD.php?id=江西卫视
河南卫视,http://123.207.224.130:123/miguHD.php?id=河南卫视
浙江卫视,http://123.207.224.130:123/miguHD.php?id=浙江卫视
湖北卫视,http://123.207.224.130:123/miguHD.php?id=湖北卫视
陕西卫视,http://123.207.224.130:123/miguHD.php?id=陕西卫视

广东影视,http://123.207.224.130:123/migu.php?id=gdys
上海新闻综合,http://123.207.224.130:123/migu.php?id=shxwzh
上海第一财经,http://123.207.224.130:123/migu.php?id=dycj
江苏城市,http://123.207.224.130:123/migu.php?id=jscs
江苏综艺,http://123.207.224.130:123/migu.php?id=jszy
江苏影视,http://123.207.224.130:123/migu.php?id=jsys
江苏公共新闻,http://123.207.224.130:123/migu.php?id=jsggxw
江苏国际,http://123.207.224.130:123/migu.php?id=jsgj
江苏教育,http://123.207.224.130:123/migu.php?id=jsjy
江苏体育休闲,http://123.207.224.130:123/migu.php?id=jstyxx
优漫卡通,http://123.207.224.130:123/migu.php?id=ymkt
南京新闻综合,http://123.207.224.130:123/migu.php?id=njxwzh
南京教科,http://123.207.224.130:123/migu.php?id=njkj
南京十八,http://123.207.224.130:123/migu.php?id=njsb
淮安新闻综合,http://123.207.224.130:123/migu.php?id=haxwzh
连云港新闻综合,http://123.207.224.130:123/migu.php?id=lygxwzh
泰州新闻综合,http://123.207.224.130:123/migu.php?id=tzxwzh
宿迁新闻综合,http://123.207.224.130:123/migu.php?id=sqxwzh
徐州新闻综合,http://123.207.224.130:123/migu.php?id=xzxwzh

嘉佳卡通,http://123.207.224.130:123/migu.php?id=jjkt
掼蛋精英赛,http://123.207.224.130:123/migu.php?id=gdjys
高清大片,http://123.207.224.130:123/migu.php?id=gqdp
红色轮播台,http://123.207.224.130:123/migu.php?id=hslbt
经典动画大集合,http://123.207.224.130:123/migu.php?id=jddhdjh
经典香港电影,http://123.207.224.130:123/migu.php?id=jdxgdy
军事迷必看大片,http://123.207.224.130:123/migu.php?id=jsdp
华语乐坛最强音,http://123.207.224.130:123/migu.php?id=hyytzqy
咪咕24小时体育台,http://123.207.224.130:123/migu.php?id=mg24hty
赛事最经典,http://123.207.224.130:123/migu.php?id=sszjd
体坛名栏汇,http://123.207.224.130:123/migu.php?id=ttmlh
乡村振兴,http://123.207.224.130:123/migu.php?id=xczx
幸福中国年,http://123.207.224.130:123/migu.php?id=xfzgn
新片放映厅,http://123.207.224.130:123/migu.php?id=xpfyt

CCTV1,http://123.207.224.130:123/miguHD.php?id=CCTV1  
CCTV2,http://123.207.224.130:123/miguHD.php?id=CCTV2  
CCTV3,http://123.207.224.130:123/miguHD.php?id=CCTV3  
CCTV4,http://123.207.224.130:123/miguHD.php?id=CCTV4  
CCTV5,http://123.207.224.130:123/miguHD.php?id=CCTV5  
CCTV5+,http://123.207.224.130:123/miguHD.php?id=CCTV5p  
CCTV6,http://123.207.224.130:123/miguHD.php?id=CCTV6  
CCTV7,http://123.207.224.130:123/miguHD.php?id=CCTV7  
CCTV8,http://123.207.224.130:123/miguHD.php?id=CCTV8  
CCTV9,http://123.207.224.130:123/miguHD.php?id=CCTV9  
CCTV10,http://123.207.224.130:123/miguHD.php?id=CCTV10  
CCTV11,http://123.207.224.130:123/miguHD.php?id=CCTV11  
CCTV12,http://123.207.224.130:123/miguHD.php?id=CCTV12  
CCTV13,http://123.207.224.130:123/miguHD.php?id=CCTV13  
CCTV14,http://123.207.224.130:123/miguHD.php?id=CCTV14  
CCTV15,http://123.207.224.130:123/miguHD.php?id=CCTV15  
CCTV17,http://123.207.224.130:123/miguHD.php?id=CCTV17   
CHC影迷电影,http://123.207.224.130:123/miguHD.php?id=CHC影迷电影
CHC家庭影院,http://123.207.224.130:123/miguHD.php?id=CHC家庭影院
CHC动作电影,http://123.207.224.130:123/miguHD.php?id=CHC动作电影



北京,#genre#
北京卫视4k,http://123.207.224.130:123/beijing/beijing.php?id=bjws4k
BRTV文艺,http://123.207.224.130:123/beijing/beijing.php?id=bjwy
BRTV纪实科教,http://123.207.224.130:123/beijing/beijing.php?id=bjjs
BRTV影视,http://123.207.224.130:123/beijing/beijing.php?id=bjys
BRTV财经,http://123.207.224.130:123/beijing/beijing.php?id=bjcj
BRTV生活,http://123.207.224.130:123/beijing/beijing.php?id=bjsh
BRTV新闻,http://123.207.224.130:123/beijing/beijing.php?id=bjxw
卡酷少儿,http://123.207.224.130:123/beijing/beijing.php?id=bjkk


安徽,#genre#
芜湖新闻综合,http://123.207.224.130:123/anhui/wuhu.php?id=whxwzh
芜湖生活,http://123.207.224.130:123/anhui/wuhu.php?id=whsh




福建,#genre#

海峡卫视,http://123.207.224.130:123/fujian/haibo.php?id=hxws
福建综合,http://123.207.224.130:123/fujian/haibo.php?id=fjzh
福建乡村振兴·公共,http://123.207.224.130:123/fujian/haibo.php?id=fjgg
福建新闻,http://123.207.224.130:123/fujian/haibo.php?id=fjxw
福建经济,http://123.207.224.130:123/fujian/haibo.php?id=fjjj
宁德新闻综合,http://123.207.224.130:123/fujian/ningde.php?id=41
宁德文化旅游,http://123.207.224.130:123/fujian/ningde.php?id=42
莆田新闻综合,http://123.207.224.130:123/fujian/putian.php?id=pttv1
莆田2,http://123.207.224.130:123/fujian/putian.php?id=pttv2
莆田仙游,http://123.207.224.130:123/fujian/putian.php?id=ptxy


广东,#genre#
广州综合,http://123.207.224.130:123/guangdong/guangzhou.php?id=zhonghe
广州新闻,http://123.207.224.130:123/guangdong/guangzhou.php?id=xinwen
广州影视,http://123.207.224.130:123/guangdong/guangzhou.php?id=yingshi
广州法治,http://123.207.224.130:123/guangdong/guangzhou.php?id=fazhi
广州南国都市,http://123.207.224.130:123/guangdong/guangzhou.php?id=shenghuo

深圳卫视,http://123.207.224.130:123/guangdong/shenzhen.php?id=szws
汕头综合,http://123.207.224.130:123/guangdong/shantou.php
